Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
215,2017,March 23 2017,West,Regional Semifinal,11 Xavier,73,2 Arizona,71,,+2,San Jose CA
216,2017,March 19 2017,East,Second Round,3 Baylor,82,11 USC,78,,+4,Tulsa OK
217,2017,March 19 2017,Midwest,Second Round,1 Kansas,90,9 Michigan State,70,,+20,Tulsa OK
218,2017,March 19 2017,South,Second Round,2 Kentucky,65,10 Wichita State,62,,+3,Indianapolis IN
219,2017,March 19 2017,Midwest,Second Round,7 Michigan,73,2 Louisville,69,,+4,Indianapolis IN
220,2017,March 19 2017,South,Second Round,1 UNC,72,8 Arkansas,65,,+7,Greenville SC
221,2017,March 19 2017,Midwest,Second Round,3 Oregon,75,11 Rhode Island,72,,+3,Sacramento CA
222,2017,March 19 2017,East,Second Round,7 South Carolina,88,2 Duke,81,,+7,Greenville SC
223,2017,March 19 2017,South,Second Round,3 UCLA,79,6 Cincinnati,67,,+12,Sacramento CA
224,2017,March 18 2017,West,Second Round,2 Arizona,69,7 Saint Mary's,60,,+9,Salt Lake City UT
225,2017,March 18 2017,South,Second Round,4 Butler,74,12 Middle Tennessee,65,,+9,Milwaukee WI
226,2017,March 18 2017,East,Second Round,4 Florida,65,5 Virginia,39,,+26,Orlando FL
227,2017,March 18 2017,West,Second Round,1 Gonzaga,79,8 Northwestern,73,,+6,Salt Lake City UT
228,2017,March 18 2017,Midwest,Second Round,4 Purdue,80,5 Iowa State,76,,+4,Milwaukee WI
229,2017,March 18 2017,West,Second Round,4 West Virginia,83,5 Notre Dame,71,,+12,Buffalo NY
230,2017,March 18 2017,East,Second Round,8 Wisconsin,65,1 Villanova,62,,+3,Buffalo NY
231,2017,March 18 2017,West,Second Round,11 Xavier,91,3 Florida State,66,,+25,Orlando FL
232,2017,March 17 2017,South,First Round,8 Arkansas,77,9 Seton Hall,71,,+6,Greenville SC
233,2017,March 17 2017,East,First Round,3 Baylor,91,14 New Mexico State,73,,+18,Tulsa OK
234,2017,March 17 2017,South,First Round,6 Cincinnati,75,11 Kansas State,61,,+14,Sacramento CA
235,2017,March 17 2017,East,First Round,2 Duke,87,15 Troy,65,,+22,Greenville SC
236,2017,March 17 2017,Midwest,First Round,1 Kansas,100,16 UC-Davis,62,,+38,Tulsa OK
237,2017,March 17 2017,South,First Round,2 Kentucky,79,15 Northern Kentucky,70,,+9,Indianapolis IN
238,2017,March 17 2017,Midwest,First Round,2 Louisville,78,15 Jacksonville State,63,,+15,Indianapolis IN
239,2017,March 17 2017,Midwest,First Round,7 Michigan,92,10 Oklahoma State,91,,+1,Indianapolis IN
240,2017,March 17 2017,Midwest,First Round,9 Michigan State,78,8 Miami (FL),58,,+20,Tulsa OK
241,2017,March 17 2017,South,First Round,1 UNC,103,16 Texas Southern,64,,+39,Greenville SC
242,2017,March 17 2017,Midwest,First Round,3 Oregon,93,14 Iona,77,,+16,Sacramento CA
243,2017,March 17 2017,Midwest,First Round,11 Rhode Island,84,6 Creighton,72,,+12,Sacramento CA
244,2017,March 17 2017,East,First Round,7 South Carolina,93,10 Marquette,73,,+20,Greenville SC
245,2017,March 17 2017,East,First Round,11 USC,66,6 SMU,65,,+1,Tulsa OK
246,2017,March 17 2017,South,First Round,3 UCLA,97,14 Kent State,80,,+17,Sacramento CA
247,2017,March 17 2017,South,First Round,10 Wichita State,64,7 Dayton,58,,+6,Indianapolis IN
248,2017,March 16 2017,West,First Round,2 Arizona,100,15 North Dakota,82,,+18,Salt Lake City UT
249,2017,March 16 2017,South,First Round,4 Butler,76,13 Winthrop,64,,+12,Milwaukee WI
250,2017,March 16 2017,East,First Round,4 Florida,80,13 ETSU,65,,+15,Orlando FL
251,2017,March 16 2017,West,First Round,3 Florida State,86,14 Florida Gulf Coast,80,,+6,Orlando FL
252,2017,March 16 2017,West,First Round,1 Gonzaga,66,16 South Dakota State,46,,+20,Salt Lake City UT
253,2017,March 16 2017,Midwest,First Round,5 Iowa State,84,12 Nevada,73,,+11,Milwaukee WI
254,2017,March 16 2017,South,First Round,12 Middle Tennessee,81,5 Minnesota,72,,+9,Milwaukee WI
255,2017,March 16 2017,West,First Round,8 Northwestern,68,9 Vanderbilt,66,,+2,Salt Lake City UT
256,2017,March 16 2017,West,First Round,5 Notre Dame,60,12 Princeton,58,,+2,Buffalo NY
257,2017,March 16 2017,Midwest,First Round,4 Purdue,80,13 Vermont,70,,+10,Milwaukee WI
258,2017,March 16 2017,West,First Round,7 Saint Mary's,85,10 VCU,77,,+8,Salt Lake City UT
259,2017,March 16 2017,East,First Round,1 Villanova,76,16 Mount St. Mary's,56,,+20,Buffalo NY
260,2017,March 16 2017,East,First Round,5 Virginia,76,12 UNC Wilmington,71,,+5,Orlando FL
261,2017,March 16 2017,West,First Round,4 West Virginia,86,13 Bucknell,80,,+6,Buffalo NY
262,2017,March 16 2017,East,First Round,8 Wisconsin,84,9 Virginia Tech,74,,+10,Buffalo NY
263,2017,March 16 2017,West,First Round,11 Xavier,76,6 Maryland,65,,+11,Orlando FL
264,2017,March 15 2017,Midwest,First Four,16 UC-Davis,67,16 North Carolina Central,63,,+4,Dayton OH
265,2017,March 15 2017,East,First Four,11 USC,75,11 Providence,71,,+4,Dayton OH
266,2017,March 14 2017,South,First Four,11 Kansas State,95,11 Wake Forest,88,,+7,Dayton OH
267,2017,March 14 2017,East,First Four,16 Mount St. Mary's,67,16 New Orleans,66,,+1,Dayton OH
268,2016,April 4 2016,National,National Final,2 Villanova,77,1 UNC,74,,+3,Houston TX
